station_id,station_name,latitude,longitude,elevation_m,obs_start,obs_end,n_valid_records,n_missing_records,total_records
0-203-0-10502072001,Bakov nad Jizerou,50.4804,14.9391,220.0,1939-01-20 06:00:00+00:00,2025-12-29 06:00:00+00:00,3702,28075,31777
0-203-0-10502085001,Dolní Bousov,50.437897,15.141737,244.0,1980-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,2249,15893,18142
0-203-0-10502101001,Mladá Boleslav,50.42267,14.91405,221.0,1945-01-05 06:00:00+00:00,2025-12-29 06:00:00+00:00,3320,28092,31412
0-203-0-10503002001,Katusice,50.444653,14.779398,312.0,1961-01-13 06:00:00+00:00,2024-12-30 06:00:00+00:00,2562,20814,23376
0-203-0-10503012001,Chotětov,50.337419,14.810102,260.0,2018-10-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,360,2289,2649
0-203-0-10503013001,Brodce,50.3347,14.8661,220.0,1950-01-13 06:00:00+00:00,2025-12-29 06:00:00+00:00,3106,27940,31046
0-203-0-10503015001,Sojovice,50.2167,14.75,182.0,1942-02-13 06:00:00+00:00,1988-12-26 06:00:00+00:00,1423,38754,40177
0-203-0-10504022002,Veleň  Mírovice,50.165,14.5464,224.0,1994-04-04 06:00:00+00:00,2005-06-27 06:00:00+00:00,469,3914,4383
0-203-0-10504033001,Bašť  Baštěk,50.205,14.4622,230.0,1942-03-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,3463,27218,30681
0-203-0-10504037001,Mšeno,50.44061,14.63399,340.0,1931-03-20 06:00:00+00:00,2025-12-29 06:00:00+00:00,3430,31269,34699
0-203-0-10504042001,Bezno,50.3744,14.7894,280.0,1898-01-07 06:00:00+00:00,2018-06-25 06:00:00+00:00,5289,39331,44620
0-203-0-10504048001,Kropáčova Vrutice  Střížovice,50.3255,14.7046,210.0,1961-01-13 06:00:00+00:00,2025-12-29 06:00:00+00:00,3001,29071,32072
0-203-0-10601002002,Kvilda,49.0192,13.5792,1059.0,1958-02-07 06:00:00+00:00,2025-12-22 06:00:00+00:00,2237,15142,17379
0-203-0-10601011001,Borová Lada,48.99055,13.661958,898.0,1964-01-03 06:00:00+00:00,2025-12-29 06:00:00+00:00,2647,18988,21635
0-203-0-10601021001,Horní Vltavice,48.9469,13.7889,830.0,1969-02-07 06:00:00+00:00,2002-12-30 06:00:00+00:00,1610,12754,14364
0-203-0-10601029001,Strážný,48.9054436,13.7206847,811.0,1974-12-09 06:00:00+00:00,2019-08-26 06:00:00+00:00,2056,13834,15890
0-203-0-10601040001,Volary,48.901667,13.896111,749.0,2015-01-05 06:00:00+00:00,2024-10-03 06:00:00+00:00,452,3112,3564
0-203-0-10601050001,Stožec,48.8570531,13.8217247,797.0,1963-07-05 06:00:00+00:00,2025-12-22 06:00:00+00:00,3036,19707,22743
0-203-0-10601064001,Jelení  Nová Pec,48.8032344,13.8896103,810.0,1994-07-04 06:00:00+00:00,2020-01-13 06:00:00+00:00,1151,8376,9527
