hydro_year,n_stations,mean_swe_obs_median,mean_swe_mod_median,mean_swe_obs_mean,mean_swe_mod_mean,mean_swe_djfm_obs_median,mean_swe_djfm_mod_median,mean_swe_djfm_obs_mean,mean_swe_djfm_mod_mean,mean_swe_snow_obs_median,mean_swe_snow_mod_median,mean_swe_snow_obs_mean,mean_swe_snow_mod_mean,max_swe_obs_median,max_swe_mod_median,max_swe_obs_mean,max_swe_mod_mean,dohy_max_obs_median,dohy_max_mod_median,dohy_max_obs_mean,dohy_max_mod_mean,dohy_first_snow_obs_median,dohy_first_snow_mod_median,dohy_first_snow_obs_mean,dohy_first_snow_mod_mean,dohy_last_snow_obs_median,dohy_last_snow_mod_median,dohy_last_snow_obs_mean,dohy_last_snow_mod_mean,snow_duration_obs_median,snow_duration_mod_median,snow_duration_obs_mean,snow_duration_mod_mean,n_snow_weeks_obs_median,n_snow_weeks_mod_median,n_snow_weeks_obs_mean,n_snow_weeks_mod_mean,swe_days_obs_median,swe_days_mod_median,swe_days_obs_mean,swe_days_mod_mean
1987,187,6.241666666666667,8.072970222916666,13.050884378856583,15.134958191470263,20.528125000000003,25.924215729583334,38.24955636262325,44.06657515977417,29.404545454545456,33.23745367777778,47.178128076071495,51.56945907713402,59.3,53.56136,81.90588235294118,80.1963615026738,94.0,101.0,98.89247311827957,112.52941176470588,52.0,52.0,52.526881720430104,52.149732620320854,136.0,143.0,139.16129032258064,144.23529411764707,91.0,91.0,86.63440860215054,92.0855614973262,12.0,13.0,11.524064171122994,12.641711229946525,2195.2000000000003,2715.7922869,4561.405882352941,5281.508623470324
1988,187,2.2395833333333335,1.8867121516666663,5.930825373282334,4.46506003833959,8.113333333333333,6.625714773333333,17.53789901218456,12.997701703402406,22.276666666666667,13.083280192857142,31.36625502723083,19.78199990829939,40.0,31.294508,65.82139037433156,46.15765219304813,135.0,135.0,130.10752688172042,128.94086021505376,79.0,72.0,77.87096774193549,64.17204301075269,135.0,142.0,154.68279569892474,155.0215053763441,56.0,63.0,76.81182795698925,90.84946236559139,6.0,7.0,6.278074866310161,7.668449197860962,771.3999999999999,652.866463774,2032.4556149732618,1527.514447521405
1989,187,0.244,0.39054745217391307,3.37234463719631,6.1167746993120895,0.49411764705882355,0.7534877635294118,9.617383103422739,18.174401397284846,9.975,6.625574433333334,19.256218563049153,21.679765861096,9.9,8.88235,25.65668449197861,33.4708888126738,49.0,49.0,42.79333333333334,44.54913294797688,21.0,21.0,24.92,20.028901734104046,49.0,49.0,60.62,72.67052023121387,28.0,35.0,35.7,52.641618497109825,2.0,3.0,3.0748663101604277,5.711229946524064,86.8,138.53285893999998,1168.7005347593583,2100.1086866283367
1990,187,0.7446808510638298,0.6134374851020408,1.2970547441011224,1.057763921929856,1.6035714285714286,1.480419441702381,3.5670395177333036,2.827991889898068,12.175,8.262954283333334,15.185250445632798,10.868491130336116,17.0,9.954164,21.563101604278074,16.072563772032083,41.0,41.0,67.80588235294118,47.646067415730336,27.0,27.0,30.623529411764707,27.98314606741573,111.0,76.0,91.15294117647059,89.01685393258427,84.0,52.5,60.529411764705884,61.03370786516854,3.0,4.0,3.3689839572192515,4.026737967914438,252.70000000000002,212.103190761,438.5930481283422,360.7750488253008
1991,187,0.9816326530612245,1.140837574,2.09056689150682,2.379359476420517,3.435714285714286,3.8412045166666666,6.750952571990242,7.701968439822168,11.66,8.980059333333333,14.220079911665,12.186767493051372,18.4,15.85936,25.01283422459893,22.151659597860963,110.0,110.0,91.73262032085562,82.41176470588235,33.0,33.0,45.31550802139037,35.35828877005348,110.0,110.0,121.64171122994652,131.8235294117647,77.0,77.0,76.32620320855615,96.46524064171123,5.0,6.0,5.32620320855615,6.839572192513369,336.0,378.77703300499996,698.9631016042781,792.4066039801303
1992,186,1.1388888888888888,1.0470699863643615,6.040037565534836,7.5535978405227295,3.2336363636363634,3.3047927402374997,15.848077152001489,21.028143843106623,12.5,9.339619611111111,24.967153472295983,24.348158144263632,19.049999999999997,14.486647999999999,36.9005376344086,42.012268689784946,60.0,60.0,63.98039215686274,64.8125,18.0,25.0,28.980392156862745,29.693181818181817,137.0,116.0,148.75816993464053,159.75,98.0,91.0,119.77777777777777,130.0568181818182,5.0,7.0,6.505376344086022,8.209677419354838,382.90000000000003,363.54803625,2005.548924731183,2497.2099371933327
1993,186,3.196102040816327,2.8740442293789714,5.361327875376304,4.819496830289541,10.767032967032968,10.108930852428571,16.709684994094385,15.234651272348609,21.08,16.13637990769231,25.65754593429661,19.398055035978675,40.25,30.5217465,51.18333333333334,38.61780749102151,121.0,121.0,116.54891304347827,119.67567567567568,44.0,44.0,59.67391304347826,43.47027027027027,142.0,149.0,138.08152173913044,145.29189189189188,91.0,98.0,78.40760869565217,101.82162162162162,7.0,9.0,7.967741935483871,9.924731182795698,1104.95,973.6221341140001,1826.1908602150538,1646.3098716097543
1994,175,1.123076923076923,1.1388639492307695,4.663473489819705,4.302126986375901,1.4923076923076923,1.5744612916666667,7.412905660281422,6.845092644890909,9.820000000000002,9.076166016666667,14.366220826629355,12.3992698501608,16.1,13.809284,24.52285714285714,22.91396632817143,29.0,29.0,45.63030303030303,46.43859649122807,22.0,22.0,23.145454545454545,22.736842105263158,64.0,64.0,90.85454545454546,89.87134502923976,49.0,42.0,67.7090909090909,67.13450292397661,4.0,4.0,4.965714285714285,5.594285714285714,232.40000000000003,262.76594099,891.66,761.638326673568
1995,164,1.2376672240802675,1.1026687689797008,5.456744157560246,4.915091843125338,3.851357466063348,3.2556166894230767,9.95674707272044,9.219974013994346,13.166666666666666,10.455988325,18.90651389224992,15.41713806654415,21.5,18.067215,35.49817073170732,29.968385116012197,77.0,77.0,77.82608695652173,78.30434782608695,56.0,56.0,56.91304347826087,49.95652173913044,84.0,84.0,106.34782608695652,104.1304347826087,28.0,35.0,49.43478260869565,54.17391304347826,4.0,4.0,4.951219512195122,5.695121951219512,345.1,299.032406218,1132.8475609756097,972.6387976292947
1996,184,5.933728448275861,8.85961206435541,12.580372478766005,18.257376257967003,13.042857142857143,18.348795818181824,20.446636260673145,30.06133970196905,18.182941176470585,18.542149533333337,23.678817260966213,28.23962545257999,32.35,31.907735000000002,48.28423913043478,48.550149293097824,125.0,125.0,111.32558139534883,111.89444444444445,6.0,6.0,21.790697674418606,15.1,139.0,139.0,136.47674418604652,141.8388888888889,122.5,133.0,114.68604651162791,126.7388888888889,12.0,14.0,11.326086956521738,13.83695652173913,1279.95,1807.99465665,2457.6125,3468.804212431737
1997,181,4.582222222222222,4.816479996363636,8.620063765138871,8.53856373299874,12.129411764705882,11.708769453846154,16.019754252220533,16.337800795471413,20.02857142857143,19.496604775,23.109159767652294,21.799582876982907,30.2,27.463806,38.45414364640884,32.46249569773481,81.0,84.5,83.3072625698324,84.96666666666667,46.0,32.0,43.37988826815643,37.638888888888886,137.0,102.0,148.30167597765364,125.4888888888889,84.0,70.0,104.92178770949721,87.85,9.0,10.0,9.74585635359116,10.243093922651934,1228.5,1270.715761,1726.722099447514,1677.9272297019754
1998,171,0.6275862068965516,0.6196617282352941,2.2551339481312453,1.6942565597076722,1.5333333333333332,1.5348307355866666,3.7985336287450804,3.0099546456098603,8.274999999999999,6.0867885,11.19859104541893,7.346273322792743,9.6,8.354614,14.305847953216375,11.54844645865497,94.0,94.0,91.25,76.2638036809816,45.0,38.0,55.25,39.88957055214724,101.0,101.0,113.3,109.15950920245399,63.0,63.0,58.05,69.26993865030674,3.0,4.0,3.2865497076023393,4.385964912280702,154.0,136.26979681,409.7701754385965,301.01293071452636
