station_id,n_obs,bias_mm,rmse_mm,correlation,mean_observed_mm,mean_modelled_mm,station_name,latitude,longitude,elevation_m
0-203-0-10403016001,190,1.6835140537052622,5.3968479904323186,0.5967908917205568,1.0705263157894724,2.7540403694947404,Bříšťany,50.3128,15.6128,265
0-203-0-10404004001,1319,-0.11208864459893794,2.425839096831068,0.8804574595245271,0.8906747536012101,0.7785861090022731,Chlumec nad Cidlinou  Lučice,50.1382625,15.4638228,213
0-203-0-10404014001,1265,-0.22574919194129775,2.8447089360537503,0.9158268027063814,0.8761264822134363,0.6503772902721413,Žehuň,50.133757,15.287765,204
0-203-0-10405023001,1273,-0.3304320396373901,3.7101010921580464,0.8682842138657326,1.7701492537313404,1.4397172140939472,Libáň,50.370822,15.214447,240
0-203-0-10405051001,1775,0.09434791477530342,1.9207441068957067,0.8891862859511559,0.526873239436623,0.6212211542119194,Dymokury,50.248346,15.201165,208
0-203-0-10405053001,885,1.1547870173172876,5.01352850129578,0.6221223078216076,0.7053107344632753,1.8600977517805644,Mcely,50.3033,15.0717,233
0-203-0-10406025001,2346,0.3860575115077844,2.6168475409041263,0.8474944353888855,0.684782608695653,1.0708401202034248,Dolní Chvatliny,49.983593,15.065951,290
0-203-0-10406037001,616,-0.133012668399351,1.3076056957796007,0.9012719443869922,0.42857142857142866,0.29555876017207783,Mrzky,50.044659,14.80731,260
0-203-0-10406039001,1705,-0.22039036665695008,2.409493558678411,0.9091267407845431,1.1695601173020562,0.9491697506451013,Kostelec n. Černými Lesy,50.0044,14.8356,360
0-203-0-10406042001,1269,0.7038963298643776,4.993640086895149,0.8048284914356576,1.5963750985027574,2.3002714283671355,Oleška  Brník,49.9833,14.9,390
0-203-0-10407027001,3044,0.10020076618593947,1.347917408420977,0.9232830731495291,0.4407358738501941,0.5409366400361368,Kostomlaty nad Labem,50.181641,14.961299,185
0-203-0-10407058001,2074,-0.12923485064930823,1.60741948979012,0.9414425950303175,0.7286403085824541,0.5994054579331447,Úvaly,50.0772,14.7111,260
0-203-0-10407065001,2328,0.3825059275058426,2.6425851189784497,0.7768517916527733,0.49381443298968913,0.8763203604955361,Káraný,50.175931,14.731428,170
0-203-0-10501011001,2947,-13.36730952510257,38.744412245801485,0.8641800568532413,23.32429589412938,9.956986369027092,Rokytnice nad Jizerou  Vilémov,50.7319,15.4229,525
0-203-0-10501021001,138,-120.2520988775326,175.59967737340193,0.4942334574132607,136.80434782608694,16.55224894855435,Dvoračky,50.748172,15.514525,1115
