station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-203-0-10501063001,48,0.9795918367346939,1976.0,2024.0,1,23.0,10.0,26.0,0.14957917872662235,49,True,True,True,True,True,True,True,,1976-2025,49,Smržovka,50.7294,15.2511,550.0
0-203-0-10502005001,48,0.9795918367346939,1976.0,2024.0,1,23.0,11.0,26.0,0.16045342329852402,49,True,True,True,True,True,True,True,,1976-2025,49,Železný Brod,50.6408,15.2517,290.0
0-203-0-10502072001,48,0.9795918367346939,1976.0,2024.0,1,22.0,11.0,25.0,0.11065002108821248,49,True,True,True,True,True,True,True,,1976-2025,49,Bakov nad Jizerou,50.4804,14.9391,220.0
0-203-0-10502101001,48,0.9795918367346939,1976.0,2024.0,1,24.0,12.0,26.0,0.11614388969802437,49,True,True,True,True,True,True,True,,1976-2025,49,Mladá Boleslav,50.42267,14.91405,221.0
0-203-0-10504033001,48,0.9795918367346939,1976.0,2024.0,1,23.0,11.0,26.0,0.13702135361132362,49,True,True,True,True,True,True,True,,1976-2025,49,Bašť  Baštěk,50.205,14.4622,230.0
0-203-0-10504037001,48,0.9795918367346939,1976.0,2024.0,1,22.0,14.0,26.0,0.1323628642189982,49,True,True,True,True,True,True,True,,1976-2025,49,Mšeno,50.44061,14.63399,340.0
0-203-0-10602014001,48,0.9795918367346939,1976.0,2024.0,1,22.0,10.0,25.0,0.1386935080717867,49,True,True,True,True,True,True,True,,1976-2025,49,Malonty,48.6854828,14.5802869,694.0
0-203-0-10602032201,48,0.9795918367346939,1976.0,2024.0,1,21.0,15.0,25.0,0.1043353126676414,49,True,True,True,True,True,True,True,,1976-2025,49,Soběnov,48.7476228,14.5355644,526.0
0-203-0-10702007001,48,0.9795918367346939,1976.0,2024.0,1,22.0,15.0,26.0,0.11103779180989123,49,True,True,True,True,True,True,True,,1976-2025,49,Hranice,48.8188419,14.8469519,479.0
0-203-0-10702028001,48,0.9795918367346939,1976.0,2024.0,1,22.0,12.0,26.0,0.13762456472134577,48,True,True,True,True,True,True,True,,1976-2025,49,Chlum u Třeboně,48.9581153,14.9351097,462.0
