station_id,hydro_year,n_obs,mean_swe_obs,mean_swe_djfm_obs,max_swe_obs,n_snow_weeks_obs,swe_days_obs,mean_swe_snow_obs,dohy_max_obs,dohy_first_snow_obs,dohy_last_snow_obs,snow_duration_obs,mean_swe_mod,mean_swe_djfm_mod,max_swe_mod,n_snow_weeks_mod,swe_days_mod,mean_swe_snow_mod,dohy_max_mod,dohy_first_snow_mod,dohy_last_snow_mod,snow_duration_mod,station_name,latitude,longitude,elevation_m
0-20000-0-11414,1982,45,7.446666666666667,26.475000000000005,73.6,12,2345.7000000000003,27.925,58.0,9.0,163.0,154.0,9.355644454,34.30580966666667,59.88394,12,2947.0280030100002,35.060424475000005,58.0,9.0,128.0,119.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1983,50,3.2880000000000003,10.959999999999999,46.0,10,1150.8,16.439999999999998,113.0,43.0,120.0,77.0,2.6033141919999996,8.677713973333333,30.694202,10,911.1599671999999,12.93109929,113.0,36.0,120.0,84.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1984,48,3.2583333333333333,11.171428571428573,28.5,12,1094.8,13.033333333333331,119.0,35.0,133.0,98.0,5.106769255,17.39807707142857,37.632,14,1715.87446968,17.508073157142857,119.0,35.0,154.0,119.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1985,49,2.381632653061225,8.178571428571429,19.6,13,816.9000000000001,8.976923076923077,82.0,47.0,180.0,133.0,4.089064653265305,14.254551042857143,32.211292,13,1402.54917607,15.35105496923077,89.0,40.0,138.0,98.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1986,49,6.208163265306122,18.8,44.4,13,2129.4,23.4,74.0,18.0,123.0,105.0,9.869380006938776,30.722338333333333,56.945663,13,3385.19734238,37.16593952307692,123.0,18.0,123.0,105.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1987,50,13.58,42.4375,111.2,14,4753.0,48.50000000000001,94.0,52.0,143.0,91.0,13.361464105248,41.4286027125,84.88491,15,4676.512436836801,44.53805056,143.0,52.0,157.0,105.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1988,49,8.659183673469387,30.307142857142857,148.2,8,2970.1,53.0375,135.0,79.0,142.0,63.0,4.992550299591836,17.470124157142855,57.332264,10,1712.44475276,24.45817382,135.0,79.0,142.0,63.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1989,49,0.8,1.4400000000000002,17.6,3,274.40000000000003,13.066666666666668,21.0,21.0,49.0,28.0,1.5422144601020409,4.2884279696666665,26.132526,4,528.979559815,18.860301,35.0,21.0,49.0,28.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1990,50,1.41,3.7,32.8,6,493.5,11.75,111.0,27.0,125.0,98.0,0.9714308456,2.407120485333334,13.012639,6,340.00079596,8.025849816666668,34.0,27.0,125.0,98.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1991,44,1.7272727272727273,6.333333333333333,21.8,5,532.0,15.2,47.0,40.0,110.0,70.0,1.615861288970455,5.736436995833333,17.957481,6,497.6852770029001,11.595969083333335,54.0,26.0,110.0,84.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1992,35,0.8342857142857144,4.016666666666667,14.3,3,204.40000000000003,9.733333333333333,60.0,18.0,137.0,119.0,1.6283520222857142,8.964721396666668,26.664186,5,398.94624546,11.37492958,60.0,18.0,137.0,119.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1993,45,5.348888888888888,20.058333333333334,49.5,8,1684.8999999999999,30.0875,121.0,44.0,135.0,91.0,4.5881297725111105,17.171290958333334,38.89144,10,1445.2608783409999,20.605549149999998,121.0,37.0,135.0,98.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1995,10,7.090000000000001,10.057142857142859,39.8,4,496.30000000000007,17.6,77.0,63.0,119.0,56.0,4.89721812,6.9014101142857145,20.622984,5,342.8052684,9.66197416,77.0,63.0,119.0,56.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1996,20,16.9,18.95,56.0,19,2366.0,17.789473684210527,139.0,6.0,139.0,133.0,10.277166045,11.30927214375,19.465313,20,1438.8032463,10.277166045,132.0,6.0,139.0,133.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
